         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	          mu	    la_UO2+2	   la_UO2CO3	
          71	      i_soln	          69	         -99	         -99	         -99	       4.328	           4	  0.00452912	 -6.1781e+00	 -1.0000e+03	
          71	       react	          69	         -99	           0	           1	       4.328	     15.3931	   0.0109826	 -6.2352e+00	 -9.7193e+00	
          72	      i_soln	          70	         -99	         -99	         -99	       4.578	           4	  0.00551921	 -6.1827e+00	 -1.0000e+03	
          72	       react	          70	         -99	           0	           1	       4.578	     15.0928	   0.0119733	 -6.2330e+00	 -9.2189e+00	
          73	      i_soln	          71	         -99	         -99	         -99	       4.515	           4	  0.00502091	 -6.1720e+00	 -1.0000e+03	
          73	       react	          71	         -99	           0	           1	       4.515	     15.1686	   0.0114749	 -6.2250e+00	 -9.3364e+00	
          74	      i_soln	          72	         -99	         -99	         -99	       4.909	           4	  0.00501085	 -6.2747e+00	 -1.0000e+03	
          74	       react	          72	         -99	           0	           1	       4.909	     14.6958	   0.0114656	 -6.3218e+00	 -8.6503e+00	
          75	      i_soln	          73	         -99	         -99	         -99	       5.083	           4	  0.00500852	 -6.3412e+00	 -1.0000e+03	
          75	       react	          73	         -99	           0	           1	       5.083	      14.487	   0.0114636	 -6.3851e+00	 -8.3698e+00	
          76	      i_soln	          74	         -99	         -99	         -99	       5.007	           4	  0.00500955	 -6.2792e+00	 -1.0000e+03	
          76	       react	          74	         -99	           0	           1	       5.007	     14.5782	   0.0114645	 -6.3245e+00	 -8.4592e+00	
          77	      i_soln	          75	         -99	         -99	         -99	       5.359	           4	  0.00450566	 -6.5054e+00	 -1.0000e+03	
          77	       react	          75	         -99	           0	           1	       5.359	      14.156	   0.0109613	 -6.5460e+00	 -7.9899e+00	
          78	      i_soln	          76	         -99	         -99	         -99	       5.589	           4	  0.00500493	 -6.6783e+00	 -1.0000e+03	
          78	       react	          76	         -99	           0	           1	       5.589	     13.8798	   0.0114611	 -6.7166e+00	 -7.7168e+00	
          79	      i_soln	          77	         -99	         -99	         -99	       6.036	           4	   0.0055042	 -7.2024e+00	 -1.0000e+03	
          79	       react	          77	         -99	           0	           1	       6.036	     13.3432	   0.0119623	 -7.2735e+00	 -7.4481e+00	
          80	      i_soln	          78	         -99	         -99	         -99	       6.247	           4	  0.00500335	 -7.4922e+00	 -1.0000e+03	
          80	       react	          78	         -99	           0	           1	       6.247	     13.0902	    0.011463	 -7.6069e+00	 -7.4134e+00	
          81	      i_soln	          79	         -99	         -99	         -99	        7.01	           4	  0.00500303	 -8.7240e+00	 -1.0000e+03	
          81	       react	          79	         -99	           0	           1	        7.01	     12.1746	   0.0114688	 -9.1258e+00	 -7.8032e+00	
          82	      i_soln	          80	         -99	         -99	         -99	       3.251	           4	   0.0490767	 -6.3144e+00	 -1.0000e+03	
          82	       react	          80	         -99	           0	           1	       3.251	      16.677	   0.0555044	 -6.3310e+00	 -1.2173e+01	
          83	      i_soln	          81	         -99	         -99	         -99	       3.964	           4	     0.04478	 -6.3574e+00	 -1.0000e+03	
          83	       react	          81	         -99	           0	           1	       3.964	     15.8221	    0.051226	 -6.3747e+00	 -1.0797e+01	
          84	      i_soln	          82	         -99	         -99	         -99	       4.278	           4	   0.0508052	 -6.3356e+00	 -1.0000e+03	
          84	       react	          82	         -99	           0	           1	       4.278	     15.4447	   0.0572537	 -6.3512e+00	 -1.0158e+01	
          85	      i_soln	          83	         -99	         -99	         -99	       4.376	           4	   0.0533227	 -6.3948e+00	 -1.0000e+03	
          85	       react	          83	         -99	           0	           1	       4.376	     15.3268	   0.0597718	 -6.4097e+00	 -1.0020e+01	
          86	      i_soln	          84	         -99	         -99	         -99	        4.62	           4	   0.0563407	 -6.3998e+00	 -1.0000e+03	
          86	       react	          84	         -99	           0	           1	        4.62	     15.0338	   0.0627908	 -6.4136e+00	 -9.5338e+00	
          87	      i_soln	          85	         -99	         -99	         -99	       4.782	           4	   0.0583535	 -6.5064e+00	 -1.0000e+03	
          87	       react	          85	         -99	           0	           1	       4.782	     14.8392	   0.0648041	 -6.5195e+00	 -9.3092e+00	
          88	      i_soln	          86	         -99	         -99	         -99	       5.043	           4	   0.0512801	 -6.5533e+00	 -1.0000e+03	
          88	       react	          86	         -99	           0	           1	       5.043	     14.5267	   0.0577318	 -6.5668e+00	 -8.8400e+00	
          89	      i_soln	          87	         -99	         -99	         -99	        5.07	           4	    0.048759	 -6.5007e+00	 -1.0000e+03	
          89	       react	          87	         -99	           0	           1	        5.07	     14.4946	   0.0552109	 -6.5145e+00	 -8.7400e+00	
          90	      i_soln	          88	         -99	         -99	         -99	       5.192	           4	   0.0512843	 -6.5843e+00	 -1.0000e+03	
          90	       react	          88	         -99	           0	           1	       5.192	     14.3479	   0.0577363	 -6.5974e+00	 -8.5910e+00	
          91	      i_soln	          89	         -99	         -99	         -99	       5.798	           4	   0.0467385	 -6.9560e+00	 -1.0000e+03	
          91	       react	          89	         -99	           0	           1	       5.798	     13.6212	   0.0531922	 -6.9788e+00	 -7.7884e+00	
          92	      i_soln	          90	         -99	         -99	         -99	       6.204	           4	   0.0487506	 -7.4788e+00	 -1.0000e+03	
          92	       react	          90	         -99	           0	           1	       6.204	     13.1338	   0.0552062	 -7.5516e+00	 -7.5990e+00	
          93	      i_soln	          91	         -99	         -99	         -99	       3.414	           4	    0.051502	 -6.3341e+00	 -1.0000e+03	
          93	       react	          91	         -99	           0	           1	       3.414	     16.4812	   0.0579353	 -6.3501e+00	 -1.1878e+01	
          94	      i_soln	          92	         -99	         -99	         -99	       3.923	           4	   0.0498292	 -6.3179e+00	 -1.0000e+03	
          94	       react	          92	         -99	           0	           1	       3.923	     15.8708	   0.0562744	 -6.3341e+00	 -1.0834e+01	
          95	      i_soln	          93	         -99	         -99	         -99	       4.127	           4	   0.0533321	 -6.3758e+00	 -1.0000e+03	
          95	       react	          93	         -99	           0	           1	       4.127	     15.6256	   0.0597796	 -6.3910e+00	 -1.0473e+01	
          96	      i_soln	          94	         -99	         -99	         -99	       4.466	           4	   0.0492788	 -6.3932e+00	 -1.0000e+03	
          96	       react	          94	         -99	           0	           1	       4.466	     15.2193	   0.0557286	 -6.4087e+00	 -9.8360e+00	
          97	      i_soln	          95	         -99	         -99	         -99	       4.936	           4	    0.049768	 -6.4355e+00	 -1.0000e+03	
          97	       react	          95	         -99	           0	           1	       4.936	     14.6553	   0.0562196	 -6.4496e+00	 -8.9351e+00	
          98	      i_soln	          96	         -99	         -99	         -99	       4.657	           4	   0.0513053	 -6.4289e+00	 -1.0000e+03	
          98	       react	          96	         -99	           0	           1	       4.657	     14.9899	   0.0577556	 -6.4436e+00	 -9.5288e+00	
          99	      i_soln	          97	         -99	         -99	         -99	       4.911	           4	   0.0517928	 -6.4503e+00	 -1.0000e+03	
          99	       react	          97	         -99	           0	           1	       4.911	      14.685	   0.0582441	 -6.4641e+00	 -9.0146e+00	
         100	      i_soln	          98	         -99	         -99	         -99	       5.169	           4	   0.0533049	 -6.4864e+00	 -1.0000e+03	
         100	       react	          98	         -99	           0	           1	       5.169	     14.3753	   0.0597568	 -6.4992e+00	 -8.5401e+00	
         101	      i_soln	          99	         -99	         -99	         -99	       5.444	           4	   0.0497643	 -6.6322e+00	 -1.0000e+03	
         101	       react	          99	         -99	           0	           1	       5.444	     14.0457	    0.056217	 -6.6458e+00	 -8.1326e+00	
         102	      i_soln	         100	         -99	         -99	         -99	       5.555	           4	   0.0507708	 -6.7220e+00	 -1.0000e+03	
         102	       react	         100	         -99	           0	           1	       5.555	     13.9124	   0.0572237	 -6.7367e+00	 -8.0016e+00	
         103	      i_soln	         101	         -99	         -99	         -99	       6.285	           4	   0.0502684	 -7.5731e+00	 -1.0000e+03	
         103	       react	         101	         -99	           0	           1	       6.285	     13.0364	   0.0567244	 -7.6602e+00	 -7.5744e+00	
         104	      i_soln	         102	         -99	         -99	         -99	        6.84	           4	   0.0512702	 -8.4715e+00	 -1.0000e+03	
         104	       react	         102	         -99	           0	           1	        6.84	     12.3703	   0.0577307	 -8.7651e+00	 -7.7745e+00	
         105	      i_soln	         103	         -99	         -99	         -99	       7.742	           4	    0.056832	 -9.9933e+00	 -1.0000e+03	
         105	       react	         103	         -99	           0	           1	       7.742	     11.2873	   0.0632975	 -1.0614e+01	 -8.5075e+00	
         106	      i_soln	         104	         -99	         -99	         -99	       8.064	           4	   0.0492559	 -1.0594e+01	 -1.0000e+03	
         106	       react	         104	         -99	           0	           1	       8.064	     10.9017	   0.0557226	 -1.1271e+01	 -8.8165e+00	
         107	      i_soln	         105	         -99	         -99	         -99	       8.591	           4	   0.0452232	 -1.1786e+01	 -1.0000e+03	
         107	       react	         105	         -99	           0	           1	       8.591	     10.2698	    0.051691	 -1.2360e+01	 -9.3684e+00	
         108	      i_soln	         106	         -99	         -99	         -99	       8.821	           4	   0.0487588	 -1.2413e+01	 -1.0000e+03	
         108	       react	         106	         -99	           0	           1	       8.821	     9.99337	   0.0552271	 -1.2861e+01	 -9.6466e+00	
         109	      i_soln	         107	         -99	         -99	         -99	       8.887	           4	   0.0507743	 -1.2580e+01	 -1.0000e+03	
         109	       react	         107	         -99	           0	           1	       8.887	     9.91395	   0.0572428	 -1.2994e+01	 -9.7173e+00	
         110	      i_soln	         108	         -99	         -99	         -99	       9.306	           4	   0.0487694	 -1.3822e+01	 -1.0000e+03	
         110	       react	         108	         -99	           0	           1	       9.306	     9.41137	   0.0552409	 -1.3990e+01	 -1.0325e+01	
         111	      i_soln	         109	         -99	         -99	         -99	       9.385	           4	   0.0502764	 -1.4041e+01	 -1.0000e+03	
         111	       react	         109	         -99	           0	           1	       9.385	      9.3164	   0.0567487	 -1.4176e+01	 -1.0445e+01	
         112	      i_soln	         110	         -99	         -99	         -99	       3.291	           4	   0.0561293	 -6.3837e+00	 -1.0000e+03	
         112	       react	         110	         -99	           0	           1	       3.291	     16.6283	    0.062556	 -6.3987e+00	 -1.2193e+01	
         113	      i_soln	         111	         -99	         -99	         -99	       3.924	           4	   0.0493269	 -6.3863e+00	 -1.0000e+03	
         113	       react	         111	         -99	           0	           1	       3.924	     15.8696	    0.055772	 -6.4026e+00	 -1.0909e+01	
         114	      i_soln	         112	         -99	         -99	         -99	       4.351	           4	   0.0487776	 -6.3779e+00	 -1.0000e+03	
         114	       react	         112	         -99	           0	           1	       4.351	     15.3573	   0.0552268	 -6.3938e+00	 -1.0043e+01	
         115	      i_soln	         113	         -99	         -99	         -99	       4.446	           4	   0.0497867	 -6.3419e+00	 -1.0000e+03	
         115	       react	         113	         -99	           0	           1	       4.446	     15.2432	   0.0562363	 -6.3574e+00	 -9.8304e+00	
         116	      i_soln	         114	         -99	         -99	         -99	       4.608	           4	   0.0533163	 -6.3960e+00	 -1.0000e+03	
         116	       react	         114	         -99	           0	           1	       4.608	     15.0485	   0.0597665	 -6.4105e+00	 -9.5679e+00	
         117	      i_soln	         115	         -99	         -99	         -99	       4.786	           4	   0.0512899	 -6.3983e+00	 -1.0000e+03	
         117	       react	         115	         -99	           0	           1	       4.786	     14.8351	   0.0577409	 -6.4126e+00	 -9.2098e+00	
         118	      i_soln	         116	         -99	         -99	         -99	       5.031	           4	   0.0538104	 -6.5118e+00	 -1.0000e+03	
         118	       react	         116	         -99	           0	           1	       5.031	     14.5408	   0.0602619	 -6.5249e+00	 -8.8372e+00	
