Experiment,Mineral_source,Mineral,UO2CO3,mu,Uranyl_Complex,uranium_total,Site_Density
215,1,0,-10.82,0.0114647,-8.3015,-8.0,-2.3382775889721437
216,1,0,-10.486,0.0114621,-8.3555,-8.0,-2.3382775889721437
217,1,0,-10.043,0.0114601,-8.4709,-8.0,-2.3382775889721437
218,1,0,-9.1573,0.0114607,-9.0783,-8.0,-2.3382775889721437
219,1,0,-12.184,0.0115926,-7.1978,-7.0,-2.3382775889721437
220,1,0,-11.456,0.0115145,-7.2068,-7.0,-2.3382775889721437
221,1,0,-11.048,0.0114924,-7.2167,-7.0,-2.3382775889721437
222,1,0,-10.867,0.0114855,-7.2229,-7.0,-2.3382775889721437
223,1,0,-10.56,0.0114766,-7.237,-7.0,-2.3382775889721437
224,1,0,-10.054,0.0114675,-7.275,-7.0,-2.3382775889721437
225,1,0,-9.5399,0.0114625,-7.3459,-7.0,-2.3382775889721437
226,1,0,-9.4359,0.0114619,-7.3664,-7.0,-2.3382775889721437
227,1,0,-9.2729,0.011461,-7.4043,-7.0,-2.3382775889721437
228,1,0,-8.7868,0.0114596,-7.5774,-7.0,-2.3382775889721437
229,1,0,-8.3403,0.0114599,-7.8928,-7.0,-2.3382775889721437
230,1,0,-11.441,0.0116418,-6.1963,-6.0,-2.3382775889721437
231,1,0,-10.849,0.0115503,-6.2009,-6.0,-2.3382775889721437
232,1,0,-10.299,0.0115065,-6.2102,-6.0,-2.3382775889721437
233,1,0,-9.9807,0.0114913,-6.2191,-6.0,-2.3382775889721437
234,1,0,-9.6816,0.0114814,-6.2314,-6.0,-2.3382775889721437
235,1,0,-9.4944,0.0114767,-6.2416,-6.0,-2.3382775889721437
236,1,0,-8.8833,0.011467,-6.2969,-6.0,-2.3382775889721437
237,1,0,-8.836,0.0114665,-6.3032,-6.0,-2.3382775889721437
238,1,0,-8.4524,0.0114633,-6.3709,-6.0,-2.3382775889721437
239,1,0,-8.0737,0.0114613,-6.4833,-6.0,-2.3382775889721437
240,1,0,-7.7235,0.0114604,-6.6828,-6.0,-2.3382775889721437
241,1,0,-7.6703,0.0114603,-6.7325,-6.0,-2.3382775889721437
242,1,0,-7.5944,0.0114603,-6.8233,-6.0,-2.3382775889721437
243,1,0,-7.4474,0.0114608,-7.1758,-6.0,-2.3382775889721437
244,1,0,-7.4432,0.011463,-7.8545,-6.0,-2.3382775889721437
245,1,0,-10.192,0.0116134,-5.1981,-5.0,-2.3382775889721437
246,1,0,-9.1396,0.0115153,-5.2163,-5.0,-2.3382775889721437
